@RELATION atributos_pacotes

@ATTRIBUTE tamtotal_med_pacote			NUMERIC
@ATTRIBUTE desv_padrao_tamtotal			NUMERIC
@ATTRIBUTE variancia_tamtotal			NUMERIC
@ATTRIBUTE tamtotal_pacote_maior		NUMERIC
@ATTRIBUTE tamtotal_pacote_menor		NUMERIC
@ATTRIBUTE com_med_cabecalhoIP			NUMERIC
@ATTRIBUTE codigo_protocolo				NUMERIC
@ATTRIBUTE srcporta						NUMERIC
@ATTRIBUTE dstporta						NUMERIC
@ATTRIBUTE class 						{p2p,ssl,web,ftp,dns}

@DATA
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,49845,21540,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,49855,21540,p2p
80.00000,29.02872,842.66667,122.0,60.0,58.40000,6,50067,21540,p2p
783.95531,714.91501,511103.46653,1506.0,60.0,57.32402,6,21540,50141,p2p
784.15287,700.72057,491009.31492,1506.0,66.0,69.21379,6,17148,54853,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50505,19624,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50555,19624,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50649,19624,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50747,19624,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50926,19624,p2p
143.00000,144.45276,20866.60000,544.0,60.0,56.18182,6,50236,13325,p2p
120.28571,122.21749,14937.11429,577.0,60.0,54.76190,6,50356,13325,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50696,13325,p2p
616.82084,596.54179,355862.11200,1506.0,66.0,66.91335,6,33942,45001,p2p
69.71429,23.07751,532.57143,122.0,60.0,57.42857,6,50484,50321,p2p
